c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
44,203,35,234,202,5,38,143,126,99,2582,1960,1000,1607,2005,1646,1000,1000,1000,2274,20,20,20,20,20,-20,-20,-20,-20,20,False,ranked
19,28,117,32,222,131,777,432,222,67,1000,2212,1804,1000,1000,1847,1997,2147,1000,1902,-20,-20,20,-20,20,20,20,20,20,-20,False,ranked
147,55,157,82,246,53,36,68,15,236,2077,2119,2006,2147,1847,2058,1000,2611,1782,2085,-20,-20,-20,20,20,-20,-20,-20,-20,20,False,ARAM
107,38,777,875,7,28,62,43,122,360,1000,1529,1600,2225,2539,1748,1000,2037,1000,1904,20,-20,20,-20,-20,20,20,-20,-20,20,False,ranked
163,122,412,81,61,64,41,82,145,9,1000,1454,1000,1542,1469,1547,1803,1000,1595,2070,20,20,20,-20,20,20,20,20,20,20,True,ranked
64,131,39,75,154,90,887,517,17,245,2283,1912,1981,1704,1780,1000,1000,1993,1000,1315,20,-20,-20,-20,-20,20,20,20,20,20,False,ranked
432,223,55,40,145,12,110,30,6,104,2539,2423,2574,2045,2839,2565,2547,2527,2546,2580,-20,-20,20,-20,-20,20,-20,20,20,-20,False,ARAM
134,36,142,236,133,89,104,99,498,38,2474,2539,2423,2496,2597,2655,2527,2505,2570,2537,20,-20,-20,20,-20,20,20,-20,20,-20,False,ARAM
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2152,2196,2114,2148,2139,-20,-20,-20,-20,20,20,-20,20,20,20,False,ranked
75,120,90,29,432,420,35,268,145,117,2057,2152,2060,2086,2047,2090,2105,2060,2089,2118,20,20,20,20,-20,-20,20,20,20,20,True,ranked
420,35,30,498,12,54,245,157,51,267,2090,2087,2018,2114,1914,2060,2088,2065,1000,1955,-20,20,-20,20,-20,20,-20,-20,20,20,True,ranked
58,59,45,96,412,234,56,103,81,3,2127,2214,2174,2110,2221,2179,2196,2212,2203,2162,-20,20,20,20,20,-20,-20,20,-20,-20,True,ranked
17,92,157,145,412,14,56,112,81,432,2192,2221,2228,2182,2163,2216,2196,2199,2176,2196,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
5,126,157,99,777,36,246,22,101,21,1648,1000,1000,1668,1548,1000,1905,2004,2205,2036,-20,20,20,20,20,20,20,-20,20,20,False,ranked
150,107,90,145,875,27,9,236,142,412,1000,1723,1596,1378,1651,1595,1000,1548,1668,1000,-20,-20,-20,-20,-20,-20,20,20,20,20,False,ranked
53,17,60,111,246,40,360,238,92,75,1000,1704,1929,1000,2353,1591,2403,1978,2011,1915,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,False,ARAM
240,202,92,56,9,25,6,54,21,876,1926,1845,1595,1995,1945,1000,1704,1929,1000,2353,20,-20,20,20,-20,-20,-20,20,-20,-20,True,ARAM
50,235,58,62,86,36,81,98,43,55,1922,2151,1686,2189,1307,1000,1704,1929,1000,2353,20,-20,-20,-20,-20,-20,-20,20,-20,-20,True,ARAM
86,11,117,222,40,875,25,134,18,350,1548,1000,1668,1000,1000,2055,1709,1000,1658,1000,20,20,20,20,20,-20,-20,-20,-20,-20,True,ranked
10,122,74,110,111,27,20,777,22,350,1000,1000,1000,1668,1548,1467,1000,1000,1560,1823,20,20,20,20,20,20,20,20,-20,20,False,ranked
84,31,81,150,110,68,35,117,498,127,2055,1709,1000,1979,1000,2055,2070,1881,2087,2001,-20,-20,-20,-20,-20,-20,20,20,20,20,False,ARAM
3,51,103,157,55,25,68,45,876,267,2055,1709,1000,1979,1000,2015,1981,1000,1924,2027,-20,-20,-20,-20,-20,-20,-20,20,20,-20,True,ARAM
7,64,412,11,497,81,21,4,25,99,1977,1000,2172,1508,1931,1983,2055,1709,1000,1000,20,-20,-20,20,20,20,-20,-20,-20,-20,False,ARAM
69,29,157,82,20,15,4,1,75,103,1990,1819,2204,1832,2002,1951,1000,2020,2205,1623,20,20,20,20,20,20,20,20,20,20,False,ARAM
516,5,517,110,99,14,120,90,222,40,1151,1431,1175,1692,1857,1000,2123,1304,533,1951,-20,20,20,-20,-20,20,20,20,-20,20,True,ranked
86,876,238,21,117,875,98,517,222,53,1000,1951,1299,1304,1284,1369,1493,1871,1461,1153,20,20,-20,20,20,-20,-20,20,-20,-20,True,ranked
161,48,98,127,56,555,26,111,80,13,1700,1000,2067,2020,2004,2017,2018,2205,1623,2009,-20,-20,20,-20,20,20,20,20,20,20,False,ARAM
110,36,127,43,67,51,50,45,13,202,2042,1968,2003,1856,1000,2205,1623,2006,1000,2280,20,20,-20,-20,-20,20,20,20,20,20,True,ARAM
32,142,18,31,887,39,53,68,133,235,2797,1644,3169,1000,1000,2770,2790,2514,1000,2907,20,20,20,20,20,-20,20,20,20,20,True,ARAM
517,16,20,429,62,201,48,29,115,145,2727,1000,2523,1000,2722,1000,1000,2734,2728,2738,20,20,20,20,20,20,20,-20,-20,-20,False,ARAM
16,99,133,7,107,22,126,39,523,110,2698,1000,2523,1000,2733,2709,1811,2714,2636,2746,-20,20,20,20,20,20,0,20,-20,20,True,ARAM
222,236,518,104,5,18,99,526,59,238,2691,2720,2677,2676,2680,2731,1000,2523,1000,2691,-20,20,-20,-20,20,-20,20,20,20,20,False,ARAM
134,53,238,20,131,27,17,516,202,25,2738,2461,3048,2453,2666,2783,2740,2778,3225,2179,-20,-20,-20,-20,-20,20,20,20,20,20,False,ARAM
142,1,24,72,34,62,887,76,92,875,2738,2695,2686,2640,2665,2720,2726,2631,2761,2689,-20,20,-20,-20,20,20,20,20,-20,20,False,ARAM
42,350,10,45,81,245,48,90,86,141,2751,2752,2742,2819,2865,2787,2768,2814,2861,2738,20,20,20,20,-20,-20,-20,-20,-20,-20,True,ARAM
526,41,134,222,61,105,62,34,104,131,2726,1000,2761,2805,2928,1000,1000,2810,2887,2818,-20,-20,20,-20,-20,20,20,-20,-20,20,True,ARAM
99,143,103,55,202,875,164,36,421,102,2869,2486,2871,2735,2831,2726,1000,2885,2798,2856,20,20,20,20,20,-20,-20,-20,-20,-20,True,ARAM
55,44,266,18,131,526,22,41,245,51,2801,2757,2765,2741,2813,2800,2797,2780,2726,1000,20,-20,-20,20,-20,20,-20,20,-20,-20,False,ARAM
222,102,80,110,13,16,24,101,84,81,2868,2888,2726,1000,2801,2887,2857,1000,1000,2744,20,-20,-20,-20,20,20,20,-20,-20,20,False,ARAM
68,114,267,51,161,57,117,147,141,119,2984,2938,2901,2997,2966,2928,2983,2996,2935,3004,20,-20,-20,-20,20,-20,-20,-20,-20,-20,True,ARAM
222,64,142,266,21,10,6,78,79,26,3032,2139,2935,3062,2898,2932,3171,2928,2967,2929,20,20,-20,20,20,20,-20,-20,-20,-20,True,ARAM
57,16,54,360,235,201,21,96,40,497,2974,2928,3006,3018,2935,2927,2929,3136,3054,2025,20,-20,-20,20,-20,-20,-20,-20,-20,-20,True,ARAM
15,99,350,136,246,101,360,201,777,236,2749,2864,2772,2793,2789,2869,2415,2765,1644,3169,-20,20,20,20,20,20,20,-20,20,20,False,ARAM
75,62,63,18,267,98,234,112,96,117,1425,2094,2076,1527,2089,2177,2684,1644,1781,2718,-20,-20,-20,-20,-20,20,20,20,20,20,False,ranked
13,23,777,222,101,6,20,105,360,12,2086,1686,1898,1806,1000,1778,2684,1644,1810,2718,20,20,20,-20,20,-20,20,20,20,20,False,ranked
131,72,1,236,99,234,154,45,360,235,1981,2684,1644,1981,2718,2086,1000,1686,1898,1774,20,20,20,-20,20,20,20,20,20,-20,True,ranked
23,1,44,91,222,523,61,55,412,33,2779,2817,1000,1000,2805,3160,2587,1805,1644,3169,-20,20,-20,-20,20,20,-20,20,20,20,True,ARAM
36,85,110,55,54,80,48,777,107,27,2725,1644,3169,3128,2107,2756,2754,1826,3135,2444,20,20,20,-20,-20,-20,20,-20,-20,-20,True,ARAM
