c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
235,268,29,50,266,19,57,81,45,154,1000,2252,1592,1000,1329,1000,1000,2061,2075,1461,30,30,-30,10,-30,50,-90,-10,-90,-30,True,ranked

36,23,55,45,147,875,36,117,67,122,2199,2123,1501,2075,2383,1000,1000,1231,2045,1958,30,30,-90,-90,-90,90,90,90,90,30,False,ranked

234,111,84,236,117,75,11,112,36,235,1496,1642,1965,1000,1653,2075,1471,1858,1000,2249,-30,90,-50,90,90,-90,-10,90,-50,-50,True,ranked

62,412,517,110,161,203,80,11,236,23,1850,1519,2067,1000,2353,1910,1801,2154,1466,1914,90,-50,90,-50,90,-90,-90,-90,-90,-90,True,ARAM

15,59,21,55,104,42,18,110,35,11,1564,1000,1159,2021,1149,1519,1000,1352,1000,793,-10,-10,-10,-10,30,-50,-50,-50,-50,-30,True,ARAM

21,8,3,875,19,30,63,202,119,101,808,905,831,780,780,793,815,867,836,1158,30,-90,30,-10,-10,-30,-50,10,30,30,False,ARAM

111,202,84,74,523,99,31,268,30,360,1000,793,1278,1267,1302,1253,1303,1291,1159,1470,-50,-30,10,-10,50,-90,50,90,10,10,False,ARAM

64,16,67,36,45,31,68,23,40,234,1278,855,1577,918,1160,1035,1000,793,1239,1172,-10,-10,90,-10,-30,90,-50,-30,30,90,False,ARAM

25,202,51,15,133,222,67,76,18,161,933,1000,793,1146,1319,997,1287,1260,1133,1139,-10,-50,-30,30,10,30,-10,-90,-90,-10,True,ARAM

518,40,24,54,68,16,30,43,201,99,1687,1564,1000,1159,2021,1296,1360,1728,1295,761,10,-10,-10,-10,-10,50,50,-30,-30,-30,False,ARAM

81,245,104,19,238,63,45,236,555,80,1920,1502,1542,1000,2021,1000,1368,1594,1250,1542,-30,-30,-30,-10,-10,90,90,-10,90,90,False,ARAM

57,202,235,2,22,103,236,110,76,82,1268,1378,938,1000,937,1290,1519,1000,1000,1261,90,50,30,50,90,-50,-50,-50,-90,-90,True,ARAM

86,81,236,245,34,59,28,67,45,23,1000,1162,1000,1327,1261,1000,938,2011,937,1000,-90,-10,-90,-30,30,-90,-10,-30,50,-90,False,ARAM

30,59,89,122,27,127,104,75,25,81,1119,1965,1000,1284,1335,1000,938,2011,937,1000,90,50,-50,-10,-10,-90,30,-30,90,-90,False,ARAM

72,81,103,32,105,36,75,21,39,22,1389,2011,937,1462,1537,1506,1493,1781,1495,1514,-90,-30,90,10,50,-30,40,30,50,-10,False,ARAM

115,51,112,25,122,41,101,121,412,62,1394,1466,2011,937,1486,1470,1525,1526,1510,1514,-90,90,-30,90,90,50,-50,-10,10,-10,True,ARAM

78,18,117,25,131,4,111,245,80,13,1682,1213,1500,1460,1519,1624,1506,1539,1000,1000,30,10,10,50,-50,10,-30,90,50,50,True,ARAM

69,3,235,59,96,121,22,76,202,7,2015,1850,1519,2067,2353,2018,2366,1743,2009,2038,-10,90,-50,90,90,-90,30,-10,50,-50,True,ARAM

80,76,110,51,31,25,161,63,234,72,1850,1519,2067,1000,2353,1866,1827,1000,1877,1813,90,-50,90,-50,90,-30,30,-10,90,-10,False,ARAM

96,111,99,412,10,106,103,30,44,420,1737,1694,1776,1754,1651,1850,1519,2067,1000,2353,-30,-10,-90,-10,-90,90,-50,90,-50,90,False,ARAM

83,518,22,41,105,14,266,110,32,61,1000,2042,1000,2089,2016,1850,2067,2353,2109,2098,30,30,30,30,-10,90,90,90,-10,10,False,ARAM

99,517,90,32,17,134,22,81,12,42,1500,2074,2846,1346,2456,2095,2065,1850,2067,2353,-10,-10,-10,-10,-10,90,30,90,90,90,False,ARAM

235,62,28,30,101,51,77,21,1,110,2180,2241,1000,2088,2107,2119,2117,1850,2067,2353,-10,-10,-10,-10,50,-50,10,90,90,90,True,ARAM

13,83,110,111,222,15,33,5,43,29,2083,2189,1826,1844,2363,2093,1850,2067,2353,2047,-10,-10,-10,-50,-50,90,90,90,90,-50,False,ARAM

235,58,43,15,350,107,432,18,267,142,1944,1331,1000,2020,2439,1932,1936,1000,2516,1000,-50,30,30,30,90,90,90,50,10,50,True,ARAM

105,48,15,25,136,127,360,235,432,143,2010,2063,1759,1823,2078,2084,2053,1000,2020,2439,-10,-50,50,-50,90,-50,-90,30,30,90,False,ARAM

56,240,115,36,50,75,81,55,268,161,1000,2020,2439,1991,1000,2139,2126,2011,2280,1000,30,30,90,-90,-90,90,50,-30,-50,-50,False,ARAM

222,111,24,76,50,19,63,127,143,99,1920,1000,1461,1000,1980,1331,1000,2020,2439,1923,50,30,10,10,90,30,30,30,90,30,False,ARAM

161,18,19,13,68,111,122,134,51,21,1860,1841,1331,1000,2439,1620,1557,2249,1000,1551,-10,30,30,30,90,-50,90,-10,-10,90,False,ARAM

